,symbol,instrument_token,date,open,high,low,close,volume
1743,CANBK,2763265,2025-08-13,109.8,111.9,108.55,111.67,58684467
1744,CANBK,2763265,2025-08-20,112.0,113.0,105.83,106.01,83762761
1745,CANBK,2763265,2025-08-28,106.05,107.0,103.55,106.16,46538098
1746,CANBK,2763265,2025-09-03,106.45,109.2,105.61,108.04,48218009
1747,CANBK,2763265,2025-09-10,108.25,113.86,108.25,113.23,72113712
1748,CANBK,2763265,2025-09-17,113.44,122.09,113.01,121.9,184354923
1749,CANBK,2763265,2025-09-24,122.7,124.55,117.5,123.71,187265860
1750,CANBK,2763265,2025-10-01,124.3,128.5,121.17,128.06,130589033
1751,CANBK,2763265,2025-10-08,128.5,128.6,124.6,125.22,119601756
1752,CANBK,2763265,2025-10-15,125.8,130.14,124.6,127.12,98220430
1753,CANBK,2763265,2025-10-23,127.6,131.77,124.73,129.98,127149348
1754,CANBK,2763265,2025-10-29,129.88,134.25,127.8,132.89,131271571
1755,DIVISLAB,2800641,2025-07-23,6641.0,6713.5,6473.0,6676.5,932619
1756,DIVISLAB,2800641,2025-07-30,6643.5,6733.5,6335.5,6409.0,1631433
1757,DIVISLAB,2800641,2025-08-06,6410.5,6449.0,5856.5,5961.0,3685498
1758,DIVISLAB,2800641,2025-08-13,5971.0,6211.5,5970.0,6079.5,1411324
1759,DIVISLAB,2800641,2025-08-20,6084.0,6314.5,5952.5,6190.5,2431866
1760,DIVISLAB,2800641,2025-08-28,6275.0,6275.0,6059.5,6120.5,1198556
1761,DIVISLAB,2800641,2025-09-03,6145.0,6197.5,5940.0,6002.5,1563402
1762,DIVISLAB,2800641,2025-09-10,6015.0,6175.0,5896.5,6099.5,1994431
1763,DIVISLAB,2800641,2025-09-17,6089.0,6280.0,6006.5,6051.0,2184356
1764,DIVISLAB,2800641,2025-09-24,6037.0,6078.5,5636.5,5689.5,1885136
1765,DIVISLAB,2800641,2025-10-01,5692.5,6120.0,5675.0,6104.5,2597098
1766,DIVISLAB,2800641,2025-10-08,6115.0,6620.0,6104.0,6561.0,4089612
