,SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
60,ABCAPITAL,2025-11-28,353.0,360.15,351.0,357.6,358.05,8364994,29843.26,80468, 5238248, 62.62
61,ABCAPITAL,2025-12-01,358.0,360.15,355.1,355.85,356.1,4583272,16349.58,52964, 2694426, 58.79
62,ABCAPITAL,2025-12-02,356.1,359.0,353.8,356.4,355.75,2767486,9860.78,44395, 1513525, 54.69
63,ABCAPITAL,2025-12-03,356.0,356.8,347.3,350.15,350.0,3307025,11587.37,44515, 1908499, 57.71
64,ABCAPITAL,2025-12-04,349.2,350.95,347.7,349.0,349.4,1540673,5382.54,36030, 792093, 51.41
65,ABCAPITAL,2025-12-05,349.4,360.6,346.05,358.25,358.75,4438367,15803.0,51341, 1527349, 34.41
66,ADANIENSOL,2025-11-06,985.9,994.6,962.8,969.8,968.15,1064046,10368.17,31974, 408814, 38.42
67,ADANIENSOL,2025-11-07,966.85,973.7,945.2,966.35,960.6,1384632,13296.0,34712, 604068, 43.63
68,ADANIENSOL,2025-11-10,965.55,972.5,955.1,959.0,959.15,674839,6513.37,22225, 278282, 41.24
69,ADANIENSOL,2025-11-11,960.15,994.45,947.3,989.85,989.3,1703879,16688.63,37960, 478260, 28.07
70,ADANIENSOL,2025-11-12,989.35,1021.6,986.0,1001.0,1001.9,1704880,17147.74,43069, 414671, 24.32
71,ADANIENSOL,2025-11-13,1003.2,1035.75,998.35,1022.95,1021.4,2163072,22161.51,54210, 659654, 30.50
72,ADANIENSOL,2025-11-14,1027.0,1050.0,1017.0,1025.5,1023.85,2190871,22609.38,82137, 670058, 30.58
73,ADANIENSOL,2025-11-17,1025.5,1029.0,1011.85,1023.1,1021.55,837345,8543.84,24917, 322275, 38.49
74,ADANIENSOL,2025-11-18,1023.8,1036.0,1017.75,1024.25,1026.65,1175321,12096.05,28449, 433353, 36.87
75,ADANIENSOL,2025-11-19,1032.0,1044.0,1002.2,1004.0,1006.25,1574241,15999.44,38706, 390820, 24.83
76,ADANIENSOL,2025-11-20,1014.0,1014.0,989.0,996.95,993.6,852319,8529.06,23878, 320534, 37.61
77,ADANIENSOL,2025-11-21,993.35,996.85,972.75,975.0,974.8,815816,8012.57,59626, 427257, 52.37
78,ADANIENSOL,2025-11-24,979.0,983.9,967.6,968.0,970.15,774740,7546.82,25051, 327348, 42.25
79,ADANIENSOL,2025-11-25,970.0,977.5,965.75,977.5,971.5,504028,4895.37,18646, 173486, 34.42
80,ADANIENSOL,2025-11-26,975.95,998.0,974.7,992.6,991.2,646270,6407.97,19642, 226096, 34.98
81,ADANIENSOL,2025-11-27,992.6,994.15,974.0,982.25,984.35,868201,8547.26,29792, 423549, 48.78
82,ADANIENSOL,2025-11-28,988.7,1001.0,977.9,994.0,994.55,827939,8232.49,22637, 206377, 24.93
